"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 15, 2016","165.24","165.02","165.44","164.87","604.74K","0.02%"
"Jun 14, 2016","165.21","164.87","165.61","164.72","787.78K","0.31%"
"Jun 13, 2016","164.70","164.95","164.95","164.60","555.90K","-0.09%"
"Jun 10, 2016","164.85","164.64","164.98","164.55","543.87K","0.18%"
"Jun 09, 2016","164.55","164.53","164.81","164.43","561.87K","-0.49%"
"Jun 08, 2016","165.36","165.27","165.63","165.27","22.98K","-0.01%"
"Jun 07, 2016","165.38","164.95","165.49","164.84","517.32K","0.26%"
"Jun 06, 2016","164.95","165.12","165.17","164.86","1.11M","-0.09%"
"Jun 03, 2016","165.10","164.41","165.23","164.40","1.31M","0.37%"
"Jun 02, 2016","164.49","164.14","164.59","163.87","1.18M","0.21%"
"Jun 01, 2016","164.15","164.15","164.42","164.05","884.87K","0.11%"
"May 31, 2016","163.97","163.76","164.21","163.39","771.36K","0.20%"
"May 30, 2016","163.65","163.94","163.99","163.53","219.42K","-0.21%"
"May 27, 2016","164.00","164.04","164.36","163.90","494.31K","-0.02%"
"May 26, 2016","164.03","163.84","164.19","163.57","555.95K","0.08%"
"May 25, 2016","163.90","163.53","163.95","163.13","730.56K","0.24%"
"May 24, 2016","163.51","163.69","163.77","163.41","582.22K","0.06%"
"May 23, 2016","163.42","163.66","164.07","163.34","631.38K","-0.09%"
"May 20, 2016","163.56","163.66","163.75","163.33","463.96K","-0.03%"
"May 19, 2016","163.61","163.21","163.71","163.06","743.62K","-0.01%"
"May 18, 2016","163.63","163.91","163.96","163.16","714.36K","-0.32%"
"May 17, 2016","164.15","163.82","164.17","163.49","595.71K","0.14%"
"May 16, 2016","163.92","164.28","164.28","163.75","311.41K","-0.16%"
"May 13, 2016","164.19","163.95","164.30","163.76","520.18K","0.23%"
"May 12, 2016","163.82","164.20","164.49","163.62","737.59K","-0.22%"
"May 11, 2016","164.18","164.26","164.35","163.97","562.60K","-0.05%"
"May 10, 2016","164.26","164.05","164.36","163.86","674.34K","0.13%"
"May 09, 2016","164.05","163.52","164.14","163.50","610.39K","0.14%"
"May 06, 2016","163.82","163.80","163.93","163.42","597.66K","0.20%"
"May 05, 2016","163.50","162.99","163.86","162.73","546.27K","0.32%"
"May 04, 2016","162.98","162.90","163.09","162.67","736.79K","-0.03%"
